Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Self-digitization microfluidic chip for absolute quantification of mRNA in single cells.","/pubmed/25390242","Thompson AM, Gansen A, Paguirigan AL, Kreutz JE, Radich JP, Chiu DT.","Anal Chem. 2014 Dec 16;86(24):12308-14. doi: 10.1021/ac5035924.","Anal Chem.  2014","PubMed","citation","PMID:25390242 | PMCID:PMC4270397","pubmed","25390242","create date:2014/11/13 | first author:Thompson AM",
"Screening newborn blood spots for 22q11.2 deletion syndrome using multiplex droplet digital PCR.","/pubmed/25388430","Pretto D, Maar D, Yrigollen CM, Regan J, Tassone F.","Clin Chem. 2015 Jan;61(1):182-90. doi: 10.1373/clinchem.2014.230086.","Clin Chem.  2015","PubMed","citation","PMID:25388430","pubmed","25388430","create date:2014/11/13 | first author:Pretto D",
"Germ-line transmitted, chromosomally integrated HHV-6 and classical Hodgkin lymphoma.","/pubmed/25384040","Bell AJ, Gallagher A, Mottram T, Lake A, Kane EV, Lightfoot T, Roman E, Jarrett RF.","PLoS One. 2014 Nov 10;9(11):e112642. doi: 10.1371/journal.pone.0112642.","PLoS One.  2014","PubMed","citation","PMID:25384040 | PMCID:PMC4226568","pubmed","25384040","create date:2014/11/11 | first author:Bell AJ",
"Transgene detection by digital droplet PCR.","/pubmed/25375130","Moser DA, Braga L, Raso A, Zacchigna S, Giacca M, Simon P.","PLoS One. 2014 Nov 6;9(11):e111781. doi: 10.1371/journal.pone.0111781.","PLoS One.  2014","PubMed","citation","PMID:25375130 | PMCID:PMC4222945","pubmed","25375130","create date:2014/11/07 | first author:Moser DA",
"Next generation digital PCR measurement of hepatitis B virus copy number in formalin-fixed paraffin-embedded hepatocellular carcinoma tissue.","/pubmed/25361948","Huang JT, Liu YJ, Wang J, Xu ZG, Yang Y, Shen F, Liu XH, Zhou X, Liu SM.","Clin Chem. 2015 Jan;61(1):290-6. doi: 10.1373/clinchem.2014.230227.","Clin Chem.  2015","PubMed","citation","PMID:25361948","pubmed","25361948","create date:2014/11/02 | first author:Huang JT",
"Isolation of digital dermatitis treponemes from hoof lesions in Wild North American Elk (Cervus elaphus) in Washington State, USA.","/pubmed/25355757","Clegg SR, Mansfield KG, Newbrook K, Sullivan LE, Blowey RW, Carter SD, Evans NJ.","J Clin Microbiol. 2015 Jan;53(1):88-94. doi: 10.1128/JCM.02276-14.","J Clin Microbiol.  2015","PubMed","citation","PMID:25355757 | PMCID:PMC4290963","pubmed","25355757","create date:2014/10/31 | first author:Clegg SR",
"A droplet-to-digital (D2D) microfluidic device for single cell assays.","/pubmed/25354549","Shih SC, Gach PC, Sustarich J, Simmons BA, Adams PD, Singh S, Singh AK.","Lab Chip. 2015 Jan 7;15(1):225-36. doi: 10.1039/c4lc00794h.","Lab Chip.  2015","PubMed","citation","PMID:25354549","pubmed","25354549","create date:2014/10/31 | first author:Shih SC",
"Prognostic serum miRNA biomarkers associated with Alzheimer's disease shows concordance with neuropsychological and neuroimaging assessment.","/pubmed/25349172","Cheng L, Doecke JD, Sharples RA, Villemagne VL, Fowler CJ, Rembach A, Martins RN, Rowe CC, Macaulay SL, Masters CL, Hill AF; Australian Imaging, Biomarkers and Lifestyle (AIBL) Research Group..","Mol Psychiatry. 2015 Oct;20(10):1188-96. doi: 10.1038/mp.2014.127.","Mol Psychiatry.  2015","PubMed","citation","PMID:25349172","pubmed","25349172","create date:2014/10/29 | first author:Cheng L",
"Considerations for digital PCR as an accurate molecular diagnostic tool.","/pubmed/25338683","Huggett JF, Cowen S, Foy CA.","Clin Chem. 2015 Jan;61(1):79-88. doi: 10.1373/clinchem.2014.221366. Review.","Clin Chem.  2015","PubMed","citation","PMID:25338683","pubmed","25338683","create date:2014/10/24 | first author:Huggett JF",
"Absent expression of the osteoblast-specific maternally imprinted genes, DLX5 and DLX6, causes split hand/split foot malformation type I.","/pubmed/25332435","Rattanasopha S, Tongkobpetch S, Srichomthong C, Kitidumrongsook P, Suphapeetiporn K, Shotelersuk V.","J Med Genet. 2014 Dec;51(12):817-23. doi: 10.1136/jmedgenet-2014-102576.","J Med Genet.  2014","PubMed","citation","PMID:25332435","pubmed","25332435","create date:2014/10/22 | first author:Rattanasopha S",
"A comparison between droplet digital and quantitative PCR in the analysis of bacterial 16S load in lung tissue samples from control and COPD GOLD 2.","/pubmed/25329701","Sze MA, Abbasi M, Hogg JC, Sin DD.","PLoS One. 2014 Oct 16;9(10):e110351. doi: 10.1371/journal.pone.0110351.","PLoS One.  2014","PubMed","citation","PMID:25329701 | PMCID:PMC4199711","pubmed","25329701","create date:2014/10/21 | first author:Sze MA",
"A solvent replenishment solution for managing evaporation of biochemical reactions in air-matrix digital microfluidics devices.","/pubmed/25325619","Jebrail MJ, Renzi RF, Sinha A, Van De Vreugde J, Gondhalekar C, Ambriz C, Meagher RJ, Branda SS.","Lab Chip. 2015 Jan 7;15(1):151-8. doi: 10.1039/c4lc00703d.","Lab Chip.  2015","PubMed","citation","PMID:25325619","pubmed","25325619","create date:2014/10/18 | first author:Jebrail MJ",
"Prospective blinded study of BRAFV600E mutation detection in cell-free DNA of patients with systemic histiocytic disorders.","/pubmed/25324352","Hyman DM, Diamond EL, Vibat CR, Hassaine L, Poole JC, Patel M, Holley VR, Cabrilo G, Lu TT, Arcila ME, Chung YR, Rampal R, Lacouture ME, Rosen N, Meric-Bernstam F, Baselga J, Kurzrock R, Erlander MG, Janku F, Abdel-Wahab O.","Cancer Discov. 2015 Jan;5(1):64-71. doi: 10.1158/2159-8290.CD-14-0742.","Cancer Discov.  2015","PubMed","citation","PMID:25324352","pubmed","25324352","create date:2014/10/18 | first author:Hyman DM",
"Maternal age effect and severe germ-line bottleneck in the inheritance of human mitochondrial DNA.","/pubmed/25313049","Rebolledo-Jaramillo B, Su MS, Stoler N, McElhoe JA, Dickins B, Blankenberg D, Korneliussen TS, Chiaromonte F, Nielsen R, Holland MM, Paul IM, Nekrutenko A, Makova KD.","Proc Natl Acad Sci U S A. 2014 Oct 28;111(43):15474-9. doi: 10.1073/pnas.1409328111.","Proc Natl Acad Sci U S A.  2014","PubMed","citation","PMID:25313049 | PMCID:PMC4217420","pubmed","25313049","create date:2014/10/15 | first author:Rebolledo-Jaramillo B",
"Mapping the deletion endpoints in individuals with 22q11.2 deletion syndrome by droplet digital PCR.","/pubmed/25312060","Hwang VJ, Maar D, Regan J, Angkustsiri K, Simon TJ, Tassone F.","BMC Med Genet. 2014 Oct 14;15:106. doi: 10.1186/s12881-014-0106-5.","BMC Med Genet.  2014","PubMed","citation","PMID:25312060 | PMCID:PMC4258952","pubmed","25312060","create date:2014/10/15 | first author:Hwang VJ",
"Critical Role of IP-10 on Reducing Experimental Corneal Neovascularization.","/pubmed/25309995","Liu G, Zhang W, Xiao Y, Lu P.","Curr Eye Res. 2015 Sep;40(9):891-901. doi: 10.3109/02713683.2014.968934.","Curr Eye Res.  2015","PubMed","citation","PMID:25309995","pubmed","25309995","create date:2014/10/14 | first author:Liu G",
"Dietary influences on tissue concentrations of phytanic acid and AMACR expression in the benign human prostate.","/pubmed/25307752","Kataria Y, Wright M, Deaton RJ, Rueter EE, Rybicki BA, Moser AB, Ananthanrayanan V, Gann PH.","Prostate. 2015 Feb;75(2):200-10. doi: 10.1002/pros.22905.","Prostate.  2015","PubMed","citation","PMID:25307752 | PMCID:PMC4778716","pubmed","25307752","create date:2014/10/14 | first author:Kataria Y",
"Quantifying environmental DNA signals for aquatic invasive species across multiple detection platforms.","/pubmed/25299381","Nathan LM, Simmons M, Wegleitner BJ, Jerde CL, Mahon AR.","Environ Sci Technol. 2014 Nov 4;48(21):12800-6. doi: 10.1021/es5034052.","Environ Sci Technol.  2014","PubMed","citation","PMID:25299381","pubmed","25299381","create date:2014/10/10 | first author:Nathan LM",
"Transcriptome characterization analysis of Bactrocera minax and new insights into its pupal diapause development with gene expression analysis.","/pubmed/25285037","Dong Y, Desneux N, Lei C, Niu C.","Int J Biol Sci. 2014 Sep 12;10(9):1051-63. doi: 10.7150/ijbs.9438.","Int J Biol Sci.  2014","PubMed","citation","PMID:25285037 | PMCID:PMC4183925","pubmed","25285037","create date:2014/10/07 | first author:Dong Y",
"Emerging technologies for the clinical microbiology laboratory.","/pubmed/25278575","Buchan BW, Ledeboer NA.","Clin Microbiol Rev. 2014 Oct;27(4):783-822. doi: 10.1128/CMR.00003-14. Review.","Clin Microbiol Rev.  2014","PubMed","citation","PMID:25278575 | PMCID:PMC4187641","pubmed","25278575","create date:2014/10/04 | first author:Buchan BW",
"A multiplexed droplet digital PCR assay performs better than qPCR on inhibition prone samples.","/pubmed/25277746","Sedlak RH, Kuypers J, Jerome KR.","Diagn Microbiol Infect Dis. 2014 Dec;80(4):285-6. doi: 10.1016/j.diagmicrobio.2014.09.004.","Diagn Microbiol Infect Dis.  2014","PubMed","citation","PMID:25277746","pubmed","25277746","create date:2014/10/04 | first author:Sedlak RH",
"Deep sequencing of the scallop Chlamys farreri transcriptome response to tetrabromobisphenol A (TBBPA) stress.","/pubmed/25260812","Hu F, Pan L, Cai Y, Liu T, Jin Q.","Mar Genomics. 2015 Feb;19:31-8. doi: 10.1016/j.margen.2014.09.004.","Mar Genomics.  2015","PubMed","citation","PMID:25260812","pubmed","25260812","create date:2014/09/28 | first author:Hu F",
"Whole-genome sequencing identifies genetic variances in culture-expanded human mesenchymal stem cells.","/pubmed/25254336","Cai J, Miao X, Li Y, Smith C, Tsang K, Cheng L, Wang QF.","Stem Cell Reports. 2014 Aug 12;3(2):227-33. doi: 10.1016/j.stemcr.2014.05.019.","Stem Cell Reports.  2014","PubMed","citation","PMID:25254336 | PMCID:PMC4176531","pubmed","25254336","create date:2014/09/26 | first author:Cai J",
"Progesterone modulates SERCA2a expression and function in rabbit cardiomyocytes.","/pubmed/25252951","Moshal KS, Zhang Z, Roder K, Kim TY, Cooper L, Patedakis Litvinov B, Lu Y, Reddy V, Terentyev D, Choi BR, Koren G.","Am J Physiol Cell Physiol. 2014 Dec 1;307(11):C1050-7. doi: 10.1152/ajpcell.00127.2014.","Am J Physiol Cell Physiol.  2014","PubMed","citation","PMID:25252951 | PMCID:PMC4254949","pubmed","25252951","create date:2014/09/26 | first author:Moshal KS",
"Clinical relevance of KRAS-mutated subclones detected with picodroplet digital PCR in advanced colorectal cancer treated with anti-EGFR therapy.","/pubmed/25248381","Laurent-Puig P, Pekin D, Normand C, Kotsopoulos SK, Nizard P, Perez-Toralla K, Rowell R, Olson J, Srinivasan P, Le Corre D, Hor T, El Harrak Z, Li X, Link DR, Bouché O, Emile JF, Landi B, Boige V, Hutchison JB, Taly V.","Clin Cancer Res. 2015 Mar 1;21(5):1087-97. doi: 10.1158/1078-0432.CCR-14-0983.","Clin Cancer Res.  2015","PubMed","citation","PMID:25248381","pubmed","25248381","create date:2014/09/25 | first author:Laurent-Puig P",
"Digital gene expression analysis of reproductive toxicity of benzo[a]pyrene in male scallop chlamys farreri.","/pubmed/25244687","Deng X, Pan L, Miao J, Cai Y, Hu F.","Ecotoxicol Environ Saf. 2014 Dec;110:190-6. doi: 10.1016/j.ecoenv.2014.09.002.","Ecotoxicol Environ Saf.  2014","PubMed","citation","PMID:25244687","pubmed","25244687","create date:2014/09/23 | first author:Deng X",
"Quantitative analysis of pork and chicken products by droplet digital PCR.","/pubmed/25243184","Cai Y, Li X, Lv R, Yang J, Li J, He Y, Pan L.","Biomed Res Int. 2014;2014:810209. doi: 10.1155/2014/810209.","Biomed Res Int.  2014","PubMed","citation","PMID:25243184 | PMCID:PMC4163444","pubmed","25243184","create date:2014/09/23 | first author:Cai Y",
"Transcriptome characterization and differential expression analysis of cold-responsive genes in young spikes of common wheat.","/pubmed/25240441","Zhang S, Song G, Gao J, Li Y, Guo D, Fan Q, Sui X, Chu X, Huang C, Liu J, Li G.","J Biotechnol. 2014 Nov 10;189:48-57. doi: 10.1016/j.jbiotec.2014.08.032.","J Biotechnol.  2014","PubMed","citation","PMID:25240441","pubmed","25240441","create date:2014/09/23 | first author:Zhang S",
"Genome-wide identification and expression analysis of NBS-encoding genes in Malus x domestica and expansion of NBS genes family in Rosaceae.","/pubmed/25232838","Arya P, Kumar G, Acharya V, Singh AK.","PLoS One. 2014 Sep 18;9(9):e107987. doi: 10.1371/journal.pone.0107987.","PLoS One.  2014","PubMed","citation","PMID:25232838 | PMCID:PMC4169499","pubmed","25232838","create date:2014/09/19 | first author:Arya P",
"Mining tissue-specific contigs from peanut (Arachis hypogaea L.) for promoter cloning by deep transcriptome sequencing.","/pubmed/25231965","Geng L, Duan X, Liang C, Shu C, Song F, Zhang J.","Plant Cell Physiol. 2014 Oct;55(10):1793-801. doi: 10.1093/pcp/pcu111.","Plant Cell Physiol.  2014","PubMed","citation","PMID:25231965","pubmed","25231965","create date:2014/09/19 | first author:Geng L",
"Comparison of next-generation droplet digital PCR (ddPCR) with quantitative PCR (qPCR) for enumeration of Cryptosporidium oocysts in faecal samples.","/pubmed/25229177","Yang R, Paparini A, Monis P, Ryan U.","Int J Parasitol. 2014 Dec;44(14):1105-13. doi: 10.1016/j.ijpara.2014.08.004.","Int J Parasitol.  2014","PubMed","citation","PMID:25229177","pubmed","25229177","create date:2014/09/18 | first author:Yang R",
"Discovery of a novel insulin-like peptide and insulin binding proteins in the Eastern rock lobster Sagmariasus verreauxi.","/pubmed/25218129","Chandler JC, Aizen J, Elizur A, Hollander-Cohen L, Battaglene SC, Ventura T.","Gen Comp Endocrinol. 2015 May 1;215:76-87. doi: 10.1016/j.ygcen.2014.08.018.","Gen Comp Endocrinol.  2015","PubMed","citation","PMID:25218129","pubmed","25218129","create date:2014/09/15 | first author:Chandler JC",
"Expression of tissue factor in rabbit pulmonary artery in an acute pulmonary embolism model.","/pubmed/25215165","Zhang JX, Chen YL, Zhou YL, Guo QY, Wang XP.","World J Emerg Med. 2014;5(2):144-7. doi: 10.5847/wjem.j.1920-8642.2014.02.012.","World J Emerg Med.  2014","PubMed","citation","PMID:25215165 | PMCID:PMC4129874","pubmed","25215165","create date:2014/09/13 | first author:Zhang JX",
"Quantification of viral DNA during HIV-1 infection: A review of relevant clinical uses and laboratory methods.","/pubmed/25201144","Alidjinou EK, Bocket L, Hober D.","Pathol Biol (Paris). 2015 Feb;63(1):53-9. doi: 10.1016/j.patbio.2014.07.007. Review.","Pathol Biol (Paris).  2015","PubMed","citation","PMID:25201144","pubmed","25201144","create date:2014/09/10 | first author:Alidjinou EK",
"Identification of genes related to beak deformity of chickens using digital gene expression profiling.","/pubmed/25198128","Bai H, Zhu J, Sun Y, Liu R, Liu N, Li D, Wen J, Chen J.","PLoS One. 2014 Sep 8;9(9):e107050. doi: 10.1371/journal.pone.0107050.","PLoS One.  2014","PubMed","citation","PMID:25198128 | PMCID:PMC4157856","pubmed","25198128","create date:2014/09/10 | first author:Bai H",
"Deep sequencing-based transcriptome profiling analysis of Chlamys farreri exposed to benzo[a]pyrene.","/pubmed/25194896","Cai Y, Pan L, Hu F, Jin Q, Liu T.","Gene. 2014 Nov 10;551(2):261-70. doi: 10.1016/j.gene.2014.09.003.","Gene.  2014","PubMed","citation","PMID:25194896","pubmed","25194896","create date:2014/09/10 | first author:Cai Y",
"A survey of tools for the analysis of quantitative PCR (qPCR) data.","/pubmed/27920994","Pabinger S, Rödiger S, Kriegner A, Vierlinger K, Weinhäusel A.","Biomol Detect Quantif. 2014 Sep 6;1(1):23-33. Review.","Biomol Detect Quantif.  2014","PubMed","citation","PMID:27920994 | PMCID:PMC5129434","pubmed","27920994","create date:2014/09/06 | first author:Pabinger S",
"Differentially-expressed genes in rice infected by Xanthomonas oryzae pv. oryzae relative to a flagellin-deficient mutant reveal potential functions of flagellin in host-pathogen interactions.","/pubmed/25187853","Yu C, Chen H, Tian F, Leach JE, He C.","Rice (N Y). 2014 Sep 3;7(1):20. doi: 10.1186/s12284-014-0020-7.","Rice (N Y).  2014","PubMed","citation","PMID:25187853 | PMCID:PMC4152760","pubmed","25187853","create date:2014/09/05 | first author:Yu C",
"GMO quantification: valuable experience and insights for the future.","/pubmed/25182968","Milavec M, Dobnik D, Yang L, Zhang D, Gruden K, Zel J.","Anal Bioanal Chem. 2014 Oct;406(26):6485-97. doi: 10.1007/s00216-014-8077-0. Review.","Anal Bioanal Chem.  2014","PubMed","citation","PMID:25182968","pubmed","25182968","create date:2014/09/04 | first author:Milavec M",
"OncomiR detection in circulating body fluids: a PDMS microdevice perspective.","/pubmed/25178053","Potrich C, Vaghi V, Lunelli L, Pasquardini L, Santini GC, Ottone C, Quaglio M, Cocuzza M, Pirri CF, Ferracin M, Negrini M, Tiberio P, De Sanctis V, Bertorelli R, Pederzolli C.","Lab Chip. 2014 Oct 21;14(20):4067-75. doi: 10.1039/c4lc00630e.","Lab Chip.  2014","PubMed","citation","PMID:25178053","pubmed","25178053","create date:2014/09/02 | first author:Potrich C",
"Deep sequencing-based comparative transcriptional profiles of Cymbidium hybridum roots in response to mycorrhizal and non-mycorrhizal beneficial fungi.","/pubmed/25174959","Zhao X, Zhang J, Chen C, Yang J, Zhu H, Liu M, Lv F.","BMC Genomics. 2014 Aug 31;15:747. doi: 10.1186/1471-2164-15-747.","BMC Genomics.  2014","PubMed","citation","PMID:25174959 | PMCID:PMC4162972","pubmed","25174959","create date:2014/09/02 | first author:Zhao X",
"De novo leaf and root transcriptome analysis identified novel genes involved in steroidal sapogenin biosynthesis in Asparagus racemosus.","/pubmed/25174837","Upadhyay S, Phukan UJ, Mishra S, Shukla RK.","BMC Genomics. 2014 Aug 30;15:746. doi: 10.1186/1471-2164-15-746.","BMC Genomics.  2014","PubMed","citation","PMID:25174837 | PMCID:PMC4162912","pubmed","25174837","create date:2014/09/02 | first author:Upadhyay S",
"Optimising droplet digital PCR analysis approaches for detection and quantification of bacteria: a case study of fire blight and potato brown rot.","/pubmed/25173868","Dreo T, Pirc M, Ramšak Ž, Pavšič J, Milavec M, Zel J, Gruden K.","Anal Bioanal Chem. 2014 Oct;406(26):6513-28. doi: 10.1007/s00216-014-8084-1.","Anal Bioanal Chem.  2014","PubMed","citation","PMID:25173868","pubmed","25173868","create date:2014/09/01 | first author:Dreo T",
